message_id,timestamp,author_name,content,is_reply,reply_to_content,is_forward,forward_content,is_edited,edited_at,embeds,attachments
1464283956793839669,2026-01-23T15:41:40.380000+00:00,ohiain,,False,,False,,False,,[],"[""https://cdn.discordapp.com/attachments/1457490555016839289/1464283956580188293/image.png?ex=698feef4&is=698e9d74&hm=680cce76532246c55823d00628eeae13c6d34e7ff0fd79ed9fd4c8201be51f57&""]"
1464283987135434823,2026-01-23T15:41:47.614000+00:00,ohiain,"I bottomed ticked $RKLB, insane.",False,,False,,False,,[],[]
1464284272952344607,2026-01-23T15:42:55.758000+00:00,ohiain,$APLD next trim > 37,True,"TRIMMING $APLD 37c 20 Feb (1/5th trim)

2.74 -> 3.60 +31% 🎯

Wow, amazing RS so far.

<@&1457740469353058469>",False,,False,,[],[]
1464284898683781285,2026-01-23T15:45:24.944000+00:00,ohiain,"$RKT NHOD, this could be big big TOC... let's see what they do here.",True,"ADDING $RKT 23c 20 Feb @ .57

1/2 size

(VWAP reclaim, bids @ gap fill + 21 EMA + RDR buy)

If this doesn't make an NHOD very quickly, I'm out.
I want to see 30 min pivot high taken out quick.

<@&1457740469353058469>",False,,False,,[],[]
1464284945609392291,2026-01-23T15:45:36.132000+00:00,ohiain,21 EMA is the spot buyers need to step in.,False,,False,,False,,[],[]
1464285057899561061,2026-01-23T15:46:02.904000+00:00,ohiain,,False,,False,,False,,[],"[""https://cdn.discordapp.com/attachments/1457490555016839289/1464285057689714933/image.png?ex=698feffa&is=698e9e7a&hm=583e193834bd00ba4e30b1cc25488da007582771bdb9ccf101183747c288f484&""]"
1464285062684999850,2026-01-23T15:46:04.045000+00:00,ohiain,$RKT,False,,False,,False,,[],[]
1464288705907916831,2026-01-23T16:00:32.657000+00:00,ohiain,"$APLD testing heavy supply right @ 36.82, will watch to see if trims are acceptable around that pivot.",True,$APLD next trim > 37,False,,False,,[],[]
1464289369643810962,2026-01-23T16:03:10.904000+00:00,ohiain,$RKT working well!,False,,False,,False,,[],"[""https://cdn.discordapp.com/attachments/1457490555016839289/1464289369044291728/image.png?ex=698ff3fe&is=698ea27e&hm=df279d60f50e183788099daa1d891506a93dbd9f0049a0db61dd01a9f1a9e3c2&""]"
1464293748094799986,2026-01-23T16:20:34.808000+00:00,ohiain,"TRIMMING SMALL $APLD 37c 20 Feb

2.74 -> 3.95 +44% 🔥

Small trim into heavy resistance, I've gotta take something off into strength.

<@&1457740469353058469>",False,,False,,False,,[],"[""https://cdn.discordapp.com/attachments/1457490555016839289/1464293747931218148/image.png?ex=698ff812&is=698ea692&hm=844e6369688b09ac6d430d4cd26af7f15593afba491a984726656b157308ba99&""]"
