message_id,timestamp,author_name,content,is_reply,reply_to_content,is_forward,forward_content,is_edited,edited_at,embeds,attachments
1470476267588419828,2026-02-09T17:47:42.321000+00:00,sauced2002,really looking for them to be ITM by friday,False,,False,,False,,[],[]
1470511113023258644,2026-02-09T20:06:10.120000+00:00,sauced2002,"💇‍♀️ TRIMS

💰 XOM $3.25 to $4.80
💰 AAPL $1.90 to $2.35
🩸 TSLA $3.30 to $2

🐶 FiFi’s Open Positions 

▪️AAPL 2/13 $270p @ $1.90 
▪️XOM 4/17 $160c @ $2.75 (starter) 
▪️AAPL 3/20 $260p @ $4 average 
▪️SPY 2/27 $670p @ $4.90 (starter)",False,,False,,False,,[],[]
1470518310155063492,2026-02-09T20:34:46.050000+00:00,sauced2002,I plan on adding to SPY and XOM tomorrow,False,,False,,False,,[],[]
1470789160158888038,2026-02-10T14:31:01.723000+00:00,sauced2002,Added to spy puts 3.88 <@&1369304547356311564>,False,,False,,False,,[],[]
1470791103199314219,2026-02-10T14:38:44.980000+00:00,sauced2002,Average 4.40,False,,False,,False,,[],[]
1470792003343220736,2026-02-10T14:42:19.591000+00:00,sauced2002,"Added XOM 3/20 $160c
$1.70

Half size <@&1369304547356311564>",False,,False,,False,,[],[]
1470800412880932936,2026-02-10T15:15:44.581000+00:00,sauced2002,https://tenor.com/view/cat-ping-pong-funny-animals-cats-gif-8766860,False,,False,,False,,"[{""title"": null, ""description"": null, ""url"": ""https://tenor.com/view/cat-ping-pong-funny-animals-cats-gif-8766860"", ""author"": null}]",[]
1470800430333296650,2026-02-10T15:15:48.742000+00:00,sauced2002,Market rn,False,,False,,False,,[],[]
1470876358212190422,2026-02-10T20:17:31.359000+00:00,sauced2002,"🐶 FiFi’s Open Positions 

▪️AAPL 2/13 $270p @ $1.90 
▪️XOM 4/17 $160c @ $2.75  (1/4 size)
▪️XOM 3/20 $160c @ $1.70 (1/2 size) 
▪️AAPL 3/20 $260p @ $4 average 
▪️SPY 2/27 $670p @ $4.40 (1/2 size)",False,,False,,True,2026-02-10T20:30:43.821000+00:00,[],[]
1470973429187477625,2026-02-11T02:43:14.883000+00:00,sauced2002,AMD short on watch,False,,False,,False,,[],"[""https://cdn.discordapp.com/attachments/1368713891072315483/1470973429703246148/IMG_3665.png?ex=698f3883&is=698de703&hm=dca49b13a992519c3c505cd411909b44696160e2481dca1c0fdd9f48dc085a4c&""]"
1471147354559090790,2026-02-11T14:14:21.923000+00:00,sauced2002,Plan on trimming 1/4 of XOM March calls at open. Should be around $2.50,False,,False,,False,,[],[]
1471151873439305791,2026-02-11T14:32:19.308000+00:00,sauced2002,trim March XOM 2.60 <@&1369304547356311564>,False,,False,,False,,[],[]
1471154184962310215,2026-02-11T14:41:30.418000+00:00,sauced2002,trim XOM april 4.6 <@&1369304547356311564>,False,,False,,False,,[],[]
1471165927134462094,2026-02-11T15:28:09.970000+00:00,sauced2002,"trim SPY 2/27 puts $5.7 from $4. 
<@&1369304547356311564>",False,,False,,False,,[],[]
1471172596790857981,2026-02-11T15:54:40.140000+00:00,sauced2002,"will make a decision on AAPL at close... as of now, im chillin",False,,False,,False,,[],"[""https://cdn.discordapp.com/attachments/1368713891072315483/1471172597327597618/Screenshot_2026-02-11_at_9.54.15_AM.png?ex=698f4940&is=698df7c0&hm=1cc4393ebe48de3ca9b203411bdf84cdc5b099d1c6537942e96889a632695c4d&""]"
