message_id,timestamp,author,content,is_reply,reply_context,has_alert_ping,action,ticker,strike,type,price,expiration,size,trade_count,raw_parsed
1468263711276794001,2026-02-03T15:15:47.789000+00:00,sauced2002,small trim $5 from 4.05 <@&1369304547356311564>,True,"Added another 1/4 here 3.80 on XOm
<@&1369304547356311564>",True,null,,,,,,,0,"{""action"": ""null""}"
1468265784823250946,2026-02-03T15:24:02.161000+00:00,sauced2002,Good spot to take profits on weekly spy/qqq puts. I didn’t give an exact price and i added so can’t alert/manage for you <@&1369304547356311564>,False,,True,null,,,,,,,0,"{""action"": ""null""}"
1468265845552713923,2026-02-03T15:24:16.640000+00:00,sauced2002,QQQs might flush here under 50day,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468275501905875024,2026-02-03T16:02:38.894000+00:00,sauced2002,,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468275566389231979,2026-02-03T16:02:54.268000+00:00,sauced2002,"Heading into meetings. 

Have a limit sell for 1/2 of PLTR at 5.4 for 100%",False,,False,trim,PLTR,,,5.4,,half,1,"{""action"": ""trim"", ""ticker"": ""PLTR"", ""strike"": null, ""type"": null, ""price"": 5.4, ""expiration"": null, ""size"": ""half""}"
1468275582776377457,2026-02-03T16:02:58.175000+00:00,sauced2002,<@&1369304547356311564>,False,,True,null,,,,,,,0,"{""action"": ""null""}"
1468278458806173707,2026-02-03T16:14:23.874000+00:00,sauced2002,Sold some more XOM 6.50 <@&1369304547356311564>,False,,True,trim,XOM,6.5,null,market,,half,1,"{""action"": ""trim"", ""ticker"": ""XOM"", ""strike"": 6.5, ""type"": ""null"", ""price"": ""market"", ""size"": ""half""}"
1468281298580934976,2026-02-03T16:25:40.929000+00:00,sauced2002,👆,True,,False,null,,,,,,,0,"{""action"": ""null""}"
1468288624838705326,2026-02-03T16:54:47.645000+00:00,sauced2002,,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468288635861205146,2026-02-03T16:54:50.273000+00:00,sauced2002,🚀,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468295590659231940,2026-02-03T17:22:28.426000+00:00,sauced2002,"Out PLTR BE here. Iran news can move it,",False,,False,exit,PLTR,,,BE,,,1,"{""action"": ""exit"", ""ticker"": ""PLTR"", ""price"": ""BE""}"
1468295602659131473,2026-02-03T17:22:31.287000+00:00,sauced2002,<@&1369304547356311564>,False,,True,null,,,,,,,0,"{""action"": ""null""}"
1468297079993667806,2026-02-03T17:28:23.511000+00:00,sauced2002,Trimmed XOM 7.5 <@&1369304547356311564>,False,,True,null,,,,,,,0,"{""action"": ""null""}"
1468301220866298040,2026-02-03T17:44:50.772000+00:00,sauced2002,"Trimmed weekly and 2/20 puts 

Holding April. Will add on any bounces",True,Initial buys for now. This is 1st out of potentially 4,False,null,,,,,,,0,"{""action"": ""null""}"
1468313692566454372,2026-02-03T18:34:24.257000+00:00,sauced2002,Trim spy weekly $7,True,Initial buys for now. This is 1st out of potentially 4,False,null,,,,,,,0,"{""action"": ""null""}"
1468313785910558875,2026-02-03T18:34:46.512000+00:00,sauced2002,<@&1369304547356311564>,False,,True,null,,,,,,,0,"{""action"": ""null""}"
1468317319255163085,2026-02-03T18:48:48.927000+00:00,sauced2002,"Trimmed QQQ 2/20 at $10.60 here from 6.60 

<@&1369304547356311564>",False,,True,trim,QQQ,,,10.6,2026-02-20,full,1,"{""action"": ""trim"", ""ticker"": ""QQQ"", ""strike"": null, ""type"": null, ""price"": 10.6, ""expiration"": ""2026-02-20"", ""size"": ""full""}"
1468317720725426518,2026-02-03T18:50:24.645000+00:00,sauced2002,Trimmed spy 7.20 from 4.60 for 2/20,False,,False,trim,SPY,,,7.2,2026-02-20,full,1,"{""action"": ""trim"", ""ticker"": ""SPY"", ""strike"": null, ""type"": null, ""price"": 7.2, ""expiration"": ""2026-02-20"", ""size"": ""full""}"
1468332729157292152,2026-02-03T19:50:02.934000+00:00,sauced2002,"Trims 💇‍♀️

PLTR $2.70 to $4.00
XOM $4.05 to $7.50 
SPY $3.70 to $7.
SPY $4.57 to $7.20
QQQ $6.37 to $10.60


You’re welcome <@1004836651018764318> 😘",False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468333111879143565,2026-02-03T19:51:34.182000+00:00,sauced2002,<@&1369304547356311564> 🐾,False,,True,null,,,,,,,0,"{""action"": ""null""}"
1468368199845150873,2026-02-03T22:10:59.805000+00:00,sauced2002,Ugh,True,out of WMT $1.25 <@&1369304547356311564>,False,null,,,,,,,0,"{""action"": ""null""}"
1468368446608638076,2026-02-03T22:11:58.638000+00:00,sauced2002,This is why i tend to give a longer leash on most plays.,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468368484378476565,2026-02-03T22:12:07.643000+00:00,sauced2002,But didn’t this time 🤦🏽‍♂️,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468414091747000541,2026-02-04T01:13:21.287000+00:00,sauced2002,Eyeing SMH short on the next bounce,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468655702372519977,2026-02-04T17:13:25.749000+00:00,sauced2002,"trim SPY weekly puts here $6.50 from 3.70
trim QQQ 2/20 13.50
trim XOM 9

<@&1369304547356311564>",False,,True,trim,SPY,,put,6.5,2026-02-09,full,3,"{""action"": ""trim"", ""ticker"": ""SPY"", ""strike"": null, ""type"": ""put"", ""price"": 6.5, ""expiration"": ""2026-02-09"", ""size"": ""full""}"
1468655702372519977,2026-02-04T17:13:25.749000+00:00,sauced2002,"trim SPY weekly puts here $6.50 from 3.70
trim QQQ 2/20 13.50
trim XOM 9

<@&1369304547356311564>",False,,True,trim,QQQ,13.5,,,2026-02-20,full,3,"{""action"": ""trim"", ""ticker"": ""QQQ"", ""strike"": 13.5, ""type"": null, ""price"": null, ""expiration"": ""2026-02-20"", ""size"": ""full""}"
1468655702372519977,2026-02-04T17:13:25.749000+00:00,sauced2002,"trim SPY weekly puts here $6.50 from 3.70
trim QQQ 2/20 13.50
trim XOM 9

<@&1369304547356311564>",False,,True,trim,XOM,,,,,full,3,"{""action"": ""trim"", ""ticker"": ""XOM"", ""strike"": null, ""type"": null, ""price"": null, ""expiration"": null, ""size"": ""full""}"
1468655987924799518,2026-02-04T17:14:33.830000+00:00,sauced2002,in TSLA weekly 410c 5.80 <@&1369304547356311564>,False,,True,buy,TSLA,410,call,5.8,2026-02-09,full,1,"{""action"": ""buy"", ""ticker"": ""TSLA"", ""strike"": 410, ""type"": ""call"", ""expiration"": ""2026-02-09"", ""price"": 5.8, ""size"": ""full""}"
1468655996326121554,2026-02-04T17:14:35.833000+00:00,sauced2002,SL LOD,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468660063836049448,2026-02-04T17:30:45.603000+00:00,sauced2002,all out weekly SPY 8.60 <@&1369304547356311564>  from 3.7,False,,True,exit,SPY,,,8.6,,,1,"{""action"": ""exit"", ""ticker"": ""SPY"", ""price"": 8.6}"
1468660123517063252,2026-02-04T17:30:59.832000+00:00,sauced2002,out tsla 4.2 <@&1369304547356311564>,False,,True,exit,TSLA,,,4.2,,,1,"{""action"": ""exit"", ""ticker"": ""TSLA"", ""price"": 4.2}"
1468660153405542573,2026-02-04T17:31:06.958000+00:00,sauced2002,was looking for a bounce,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468660572512981248,2026-02-04T17:32:46.881000+00:00,sauced2002,https://klipy.com/gifs/ryan-stiles-middle-finger-1,False,,False,null,,,,,,,0,"{""action"": ""null""}"
1468660594864553984,2026-02-04T17:32:52.210000+00:00,sauced2002,to all the TSLA to $500 folks tho,False,,False,null,,,,,,,0,"{""action"": ""null""}"
